Title,Year,last_year_seen
1009,1996,1996
102,1996,2018
102,1998,2018
102,2011,2018
102,2015,2018
102,2016,2018
102,2018,2018
1094,1996,1997
120,1996,2018
120,2013,2018
120,2018,2018
131,1998,1999
131,1999,1999
1313,2011,2011
1318,1997,1997
1364,2018,2018
1472,1998,1999
1500,1998,1998
159,1996,1998
1739,2016,2018
2048,2011,2018
2048,2015,2018
2048,2018,2018
251,1999,2003
293,1990,2015
293,2002,2015
293,2011,2015
3016,2013,2018
3016,2018,2018
306,1990,1990
37,1997,2002
407,1995,1996
409,2011,2011
4113,2015,2018
4113,2016,2018
4206,2018,2018
433,1990,1993
45,2011,2018
45,2015,2018
45,2018,2018
4513,2010,2018
480,2011,2018
5025,2018,2018
5031,2010,2018
5052,2011,2018
5061,2015,2016
5069,2018,2018
5078,2015,2018
5080,2015,2018
5116,2011,2011
5117,2011,2011
518,1990,1998
5193,2010,2018
5193,2018,2018
5194,2016,2018
5202,2011,2011
5204,2011,2011
5206,2015,2015
5220,2011,2011
5223,2010,2018
5228,2011,2011
531,2015,2015
54,1993,2018
54,1997,2018
54,1998,2018
54,2003,2018
54,2011,2018
54,2016,2018
5910,2010,2018
5910,2018,2018
6003,2013,2018
6003,2018,2018
6009,2018,2018
6127,2015,2015
6130,2015,2015
6141,2015,2015
6143,2015,2015
6150,2015,2016
6163,2015,2015
6167,2015,2015
617,1996,2018
617,2018,2018
6172,2015,2016
6175,2015,2015
6179,2015,2015
6183,2015,2015
6188,2015,2015
619,1997,1997
6234,2016,2016
804,1996,2018
804,1997,2018
804,1998,2018
804,1999,2018
804,2011,2018
830,1994,1994
845,1994,1994
848,1994,1994
89,1997,2018
92,1997,2018
92,2013,2018
92,2018,2018
94,1998,1999
94,1999,1999
952,1997,2018
unk,2015,2018
